sample_time_unix,gpu_timestamp,gpu_index,gpu_name,gpu_utilization_percent,memory_utilization_percent,vram_used_mib,vram_total_mib,temperature_c,power_draw_watts
1784221752.6369908,2026/07/16 10:09:12.628,0,NVIDIA GeForce RTX 5080,4.0,4.0,9753.0,16303.0,39.0,30.87
1784221753.6573837,2026/07/16 10:09:13.649,0,NVIDIA GeForce RTX 5080,3.0,19.0,9752.0,16303.0,39.0,29.05
1784221754.6765957,2026/07/16 10:09:14.669,0,NVIDIA GeForce RTX 5080,3.0,17.0,9752.0,16303.0,39.0,28.26
1784221755.6928391,2026/07/16 10:09:15.687,0,NVIDIA GeForce RTX 5080,93.0,18.0,9800.0,16303.0,45.0,90.31
1784221756.7094657,2026/07/16 10:09:16.704,0,NVIDIA GeForce RTX 5080,94.0,17.0,9804.0,16303.0,47.0,143.68
1784221757.7261302,2026/07/16 10:09:17.720,0,NVIDIA GeForce RTX 5080,93.0,17.0,9812.0,16303.0,46.0,140.5
1784221758.742405,2026/07/16 10:09:18.737,0,NVIDIA GeForce RTX 5080,93.0,23.0,9827.0,16303.0,48.0,146.13
1784221759.7592916,2026/07/16 10:09:19.753,0,NVIDIA GeForce RTX 5080,93.0,17.0,9827.0,16303.0,47.0,141.64
1784221760.7753992,2026/07/16 10:09:20.770,0,NVIDIA GeForce RTX 5080,93.0,25.0,9827.0,16303.0,50.0,149.28
1784221761.7912998,2026/07/16 10:09:21.786,0,NVIDIA GeForce RTX 5080,94.0,17.0,9827.0,16303.0,48.0,148.36
1784221762.8080459,2026/07/16 10:09:22.802,0,NVIDIA GeForce RTX 5080,90.0,21.0,9827.0,16303.0,49.0,150.26
1784221763.8246856,2026/07/16 10:09:23.819,0,NVIDIA GeForce RTX 5080,92.0,17.0,9831.0,16303.0,49.0,146.47
1784221764.842709,2026/07/16 10:09:24.836,0,NVIDIA GeForce RTX 5080,92.0,18.0,9831.0,16303.0,50.0,148.91
1784221765.8601968,2026/07/16 10:09:25.854,0,NVIDIA GeForce RTX 5080,94.0,23.0,9831.0,16303.0,49.0,151.04
1784221766.8769147,2026/07/16 10:09:26.871,0,NVIDIA GeForce RTX 5080,92.0,17.0,9831.0,16303.0,50.0,146.73
1784221767.8935058,2026/07/16 10:09:27.887,0,NVIDIA GeForce RTX 5080,93.0,19.0,9831.0,16303.0,51.0,153.34
1784221768.9146585,2026/07/16 10:09:28.909,0,NVIDIA GeForce RTX 5080,86.0,17.0,9837.0,16303.0,50.0,141.95
1784221769.935681,2026/07/16 10:09:29.929,0,NVIDIA GeForce RTX 5080,5.0,3.0,9839.0,16303.0,45.0,82.68
1784221770.957487,2026/07/16 10:09:30.951,0,NVIDIA GeForce RTX 5080,6.0,3.0,9838.0,16303.0,45.0,67.39
1784221771.9792862,2026/07/16 10:09:31.972,0,NVIDIA GeForce RTX 5080,5.0,3.0,9838.0,16303.0,44.0,65.58
1784221773.000084,2026/07/16 10:09:32.993,0,NVIDIA GeForce RTX 5080,6.0,3.0,9838.0,16303.0,44.0,65.72
