sample_time_unix,gpu_timestamp,gpu_index,gpu_name,gpu_utilization_percent,memory_utilization_percent,vram_used_mib,vram_total_mib,temperature_c,power_draw_watts
1784221829.250818,2026/07/16 10:10:29.247,0,NVIDIA GeForce RTX 5080,1.0,0.0,9840.0,16303.0,38.0,56.82
1784221830.2651265,2026/07/16 10:10:30.261,0,NVIDIA GeForce RTX 5080,2.0,0.0,9841.0,16303.0,38.0,51.88
1784221831.2795427,2026/07/16 10:10:31.275,0,NVIDIA GeForce RTX 5080,1.0,0.0,9841.0,16303.0,38.0,51.81
1784221832.2967951,2026/07/16 10:10:32.290,0,NVIDIA GeForce RTX 5080,2.0,0.0,9841.0,16303.0,42.0,73.54
1784221833.3219538,2026/07/16 10:10:33.313,0,NVIDIA GeForce RTX 5080,6.0,2.0,9841.0,16303.0,39.0,91.1
1784221834.3436985,2026/07/16 10:10:34.337,0,NVIDIA GeForce RTX 5080,6.0,3.0,9841.0,16303.0,39.0,65.33
1784221835.3681562,2026/07/16 10:10:35.360,0,NVIDIA GeForce RTX 5080,6.0,3.0,9840.0,16303.0,39.0,63.62
1784221836.3897512,2026/07/16 10:10:36.383,0,NVIDIA GeForce RTX 5080,6.0,3.0,9840.0,16303.0,39.0,63.4
1784221837.4138515,2026/07/16 10:10:37.407,0,NVIDIA GeForce RTX 5080,6.0,3.0,9840.0,16303.0,39.0,63.52
1784221838.4347107,2026/07/16 10:10:38.428,0,NVIDIA GeForce RTX 5080,6.0,3.0,9840.0,16303.0,40.0,63.6
1784221839.4498158,2026/07/16 10:10:39.445,0,NVIDIA GeForce RTX 5080,6.0,3.0,9840.0,16303.0,40.0,63.35
1784221840.4717586,2026/07/16 10:10:40.465,0,NVIDIA GeForce RTX 5080,3.0,0.0,9840.0,16303.0,38.0,59.03
1784221841.4939861,2026/07/16 10:10:41.487,0,NVIDIA GeForce RTX 5080,7.0,3.0,9840.0,16303.0,38.0,62.64
1784221842.5153666,2026/07/16 10:10:42.509,0,NVIDIA GeForce RTX 5080,8.0,4.0,9840.0,16303.0,38.0,63.48
1784221843.5392373,2026/07/16 10:10:43.531,0,NVIDIA GeForce RTX 5080,7.0,4.0,9840.0,16303.0,38.0,63.36
1784221844.5611954,2026/07/16 10:10:44.554,0,NVIDIA GeForce RTX 5080,6.0,3.0,9840.0,16303.0,39.0,62.92
1784221845.5845423,2026/07/16 10:10:45.578,0,NVIDIA GeForce RTX 5080,5.0,3.0,9840.0,16303.0,39.0,63.33
1784221846.607353,2026/07/16 10:10:46.600,0,NVIDIA GeForce RTX 5080,5.0,3.0,9840.0,16303.0,38.0,63.14
1784221847.6300547,2026/07/16 10:10:47.623,0,NVIDIA GeForce RTX 5080,5.0,3.0,9840.0,16303.0,38.0,63.0
1784221848.6523473,2026/07/16 10:10:48.645,0,NVIDIA GeForce RTX 5080,5.0,3.0,9840.0,16303.0,38.0,63.21
1784221849.6740193,2026/07/16 10:10:49.668,0,NVIDIA GeForce RTX 5080,5.0,3.0,9840.0,16303.0,38.0,62.95
1784221850.6972861,2026/07/16 10:10:50.689,0,NVIDIA GeForce RTX 5080,5.0,3.0,9840.0,16303.0,38.0,63.21
1784221851.7196555,2026/07/16 10:10:51.713,0,NVIDIA GeForce RTX 5080,5.0,3.0,9840.0,16303.0,38.0,63.08
1784221852.7408364,2026/07/16 10:10:52.735,0,NVIDIA GeForce RTX 5080,6.0,3.0,9840.0,16303.0,38.0,63.62
