sample_time_unix,gpu_timestamp,gpu_index,gpu_name,gpu_utilization_percent,memory_utilization_percent,vram_used_mib,vram_total_mib,temperature_c,power_draw_watts
1784224014.8944063,2026/07/16 10:46:54.890,0,NVIDIA GeForce RTX 5080,52.0,21.0,14838.0,16303.0,51.0,103.85
1784224015.908277,2026/07/16 10:46:55.904,0,NVIDIA GeForce RTX 5080,7.0,1.0,14839.0,16303.0,50.0,61.33
1784224016.9281554,2026/07/16 10:46:56.922,0,NVIDIA GeForce RTX 5080,15.0,1.0,14839.0,16303.0,49.0,58.08
1784224017.947685,2026/07/16 10:46:57.940,0,NVIDIA GeForce RTX 5080,54.0,21.0,14839.0,16303.0,55.0,135.67
1784224018.967736,2026/07/16 10:46:58.961,0,NVIDIA GeForce RTX 5080,55.0,21.0,14839.0,16303.0,55.0,141.79
1784224019.9904606,2026/07/16 10:46:59.982,0,NVIDIA GeForce RTX 5080,54.0,22.0,14839.0,16303.0,55.0,143.37
1784224021.011874,2026/07/16 10:47:01.005,0,NVIDIA GeForce RTX 5080,55.0,22.0,14843.0,16303.0,56.0,142.88
1784224022.0333214,2026/07/16 10:47:02.025,0,NVIDIA GeForce RTX 5080,57.0,21.0,14841.0,16303.0,55.0,142.54
1784224023.0527968,2026/07/16 10:47:03.046,0,NVIDIA GeForce RTX 5080,52.0,20.0,14841.0,16303.0,55.0,141.57
1784224024.073451,2026/07/16 10:47:04.066,0,NVIDIA GeForce RTX 5080,57.0,21.0,14840.0,16303.0,55.0,140.85
1784224025.093702,2026/07/16 10:47:05.086,0,NVIDIA GeForce RTX 5080,57.0,22.0,14840.0,16303.0,55.0,142.44
1784224026.114174,2026/07/16 10:47:06.106,0,NVIDIA GeForce RTX 5080,68.0,13.0,14840.0,16303.0,53.0,132.83
1784224027.1382837,2026/07/16 10:47:07.130,0,NVIDIA GeForce RTX 5080,57.0,20.0,14840.0,16303.0,54.0,141.17
1784224028.1523695,2026/07/16 10:47:08.148,0,NVIDIA GeForce RTX 5080,56.0,21.0,14839.0,16303.0,54.0,124.51
1784224029.171454,2026/07/16 10:47:09.165,0,NVIDIA GeForce RTX 5080,86.0,14.0,14839.0,16303.0,55.0,112.95
1784224030.1929433,2026/07/16 10:47:10.186,0,NVIDIA GeForce RTX 5080,55.0,21.0,14839.0,16303.0,55.0,153.49
1784224031.2134285,2026/07/16 10:47:11.206,0,NVIDIA GeForce RTX 5080,56.0,21.0,14839.0,16303.0,55.0,143.53
1784224032.233786,2026/07/16 10:47:12.226,0,NVIDIA GeForce RTX 5080,57.0,21.0,14839.0,16303.0,54.0,143.39
1784224033.256303,2026/07/16 10:47:13.248,0,NVIDIA GeForce RTX 5080,56.0,21.0,14839.0,16303.0,54.0,143.08
1784224034.2749908,2026/07/16 10:47:14.268,0,NVIDIA GeForce RTX 5080,56.0,22.0,14839.0,16303.0,55.0,143.28
1784224035.2964082,2026/07/16 10:47:15.289,0,NVIDIA GeForce RTX 5080,56.0,22.0,14839.0,16303.0,55.0,144.32
1784224036.313979,2026/07/16 10:47:16.308,0,NVIDIA GeForce RTX 5080,54.0,21.0,14839.0,16303.0,55.0,144.38
1784224037.3346798,2026/07/16 10:47:17.328,0,NVIDIA GeForce RTX 5080,99.0,26.0,14839.0,16303.0,61.0,150.74
1784224038.3506792,2026/07/16 10:47:18.345,0,NVIDIA GeForce RTX 5080,54.0,21.0,14831.0,16303.0,55.0,140.39
1784224039.3713763,2026/07/16 10:47:19.364,0,NVIDIA GeForce RTX 5080,56.0,21.0,14831.0,16303.0,55.0,138.31
1784224040.3909526,2026/07/16 10:47:20.384,0,NVIDIA GeForce RTX 5080,55.0,21.0,14831.0,16303.0,54.0,142.91
1784224041.4131694,2026/07/16 10:47:21.406,0,NVIDIA GeForce RTX 5080,56.0,21.0,14831.0,16303.0,55.0,143.39
1784224042.4332354,2026/07/16 10:47:22.426,0,NVIDIA GeForce RTX 5080,57.0,22.0,14831.0,16303.0,54.0,132.37
1784224043.4490244,2026/07/16 10:47:23.444,0,NVIDIA GeForce RTX 5080,57.0,21.0,14831.0,16303.0,51.0,126.69
1784224044.470545,2026/07/16 10:47:24.462,0,NVIDIA GeForce RTX 5080,56.0,21.0,14831.0,16303.0,55.0,139.82
1784224045.4900112,2026/07/16 10:47:25.483,0,NVIDIA GeForce RTX 5080,55.0,21.0,14831.0,16303.0,55.0,143.75
1784224046.5127823,2026/07/16 10:47:26.505,0,NVIDIA GeForce RTX 5080,14.0,3.0,14831.0,16303.0,54.0,133.95
1784224047.5338452,2026/07/16 10:47:27.526,0,NVIDIA GeForce RTX 5080,52.0,21.0,14831.0,16303.0,53.0,127.05
1784224048.5544817,2026/07/16 10:47:28.547,0,NVIDIA GeForce RTX 5080,52.0,22.0,14831.0,16303.0,53.0,127.27
