sample_time_unix,gpu_timestamp,gpu_index,gpu_name,gpu_utilization_percent,memory_utilization_percent,vram_used_mib,vram_total_mib,temperature_c,power_draw_watts
1784227825.2830312,2026/07/16 11:50:25.279,0,NVIDIA GeForce RTX 5080,0.0,0.0,14759.0,16303.0,40.0,48.3
1784227826.2966433,2026/07/16 11:50:26.292,0,NVIDIA GeForce RTX 5080,0.0,0.0,14759.0,16303.0,40.0,48.39
1784227827.310135,2026/07/16 11:50:27.306,0,NVIDIA GeForce RTX 5080,0.0,0.0,14759.0,16303.0,40.0,48.45
1784227828.3248231,2026/07/16 11:50:28.320,0,NVIDIA GeForce RTX 5080,75.0,10.0,14815.0,16303.0,48.0,123.13
1784227829.339918,2026/07/16 11:50:29.335,0,NVIDIA GeForce RTX 5080,76.0,9.0,14815.0,16303.0,48.0,153.25
1784227830.355485,2026/07/16 11:50:30.350,0,NVIDIA GeForce RTX 5080,76.0,9.0,14815.0,16303.0,49.0,153.83
1784227831.3700733,2026/07/16 11:50:31.365,0,NVIDIA GeForce RTX 5080,76.0,9.0,14814.0,16303.0,49.0,153.91
1784227832.385144,2026/07/16 11:50:32.380,0,NVIDIA GeForce RTX 5080,76.0,9.0,14814.0,16303.0,51.0,155.33
1784227833.3994586,2026/07/16 11:50:33.395,0,NVIDIA GeForce RTX 5080,76.0,9.0,14814.0,16303.0,50.0,155.31
1784227834.4149876,2026/07/16 11:50:34.410,0,NVIDIA GeForce RTX 5080,77.0,10.0,14814.0,16303.0,51.0,156.89
1784227835.4306448,2026/07/16 11:50:35.425,0,NVIDIA GeForce RTX 5080,76.0,9.0,14814.0,16303.0,51.0,158.52
1784227836.4467328,2026/07/16 11:50:36.441,0,NVIDIA GeForce RTX 5080,77.0,9.0,14814.0,16303.0,51.0,159.05
1784227837.4623747,2026/07/16 11:50:37.457,0,NVIDIA GeForce RTX 5080,76.0,9.0,14814.0,16303.0,52.0,160.43
1784227838.4770517,2026/07/16 11:50:38.472,0,NVIDIA GeForce RTX 5080,75.0,10.0,14814.0,16303.0,51.0,164.82
1784227839.493774,2026/07/16 11:50:39.488,0,NVIDIA GeForce RTX 5080,77.0,10.0,14814.0,16303.0,52.0,163.3
1784227840.509248,2026/07/16 11:50:40.504,0,NVIDIA GeForce RTX 5080,76.0,10.0,14816.0,16303.0,52.0,162.21
1784227841.5258512,2026/07/16 11:50:41.519,0,NVIDIA GeForce RTX 5080,75.0,8.0,14816.0,16303.0,54.0,172.57
1784227842.539697,2026/07/16 11:50:42.536,0,NVIDIA GeForce RTX 5080,71.0,8.0,14813.0,16303.0,54.0,173.37
1784227843.5574985,2026/07/16 11:50:43.550,0,NVIDIA GeForce RTX 5080,0.0,0.0,14813.0,16303.0,45.0,84.36
1784227844.5709708,2026/07/16 11:50:44.567,0,NVIDIA GeForce RTX 5080,95.0,47.0,14813.0,16303.0,53.0,166.68
1784227845.5877845,2026/07/16 11:50:45.581,0,NVIDIA GeForce RTX 5080,64.0,20.0,14813.0,16303.0,51.0,151.03
1784227846.6033623,2026/07/16 11:50:46.598,0,NVIDIA GeForce RTX 5080,95.0,47.0,14813.0,16303.0,53.0,172.31
1784227847.6192274,2026/07/16 11:50:47.614,0,NVIDIA GeForce RTX 5080,82.0,7.0,14813.0,16303.0,54.0,160.81
1784227848.6354747,2026/07/16 11:50:48.629,0,NVIDIA GeForce RTX 5080,95.0,42.0,14813.0,16303.0,55.0,208.48
1784227849.6518433,2026/07/16 11:50:49.646,0,NVIDIA GeForce RTX 5080,95.0,42.0,14813.0,16303.0,55.0,209.14
1784227850.6687932,2026/07/16 11:50:50.662,0,NVIDIA GeForce RTX 5080,95.0,42.0,14813.0,16303.0,55.0,209.89
1784227851.6849127,2026/07/16 11:50:51.679,0,NVIDIA GeForce RTX 5080,95.0,43.0,14813.0,16303.0,56.0,211.2
1784227852.7012808,2026/07/16 11:50:52.695,0,NVIDIA GeForce RTX 5080,95.0,43.0,14813.0,16303.0,56.0,211.24
1784227853.7180488,2026/07/16 11:50:53.712,0,NVIDIA GeForce RTX 5080,95.0,43.0,14813.0,16303.0,56.0,211.59
1784227854.7339664,2026/07/16 11:50:54.728,0,NVIDIA GeForce RTX 5080,92.0,41.0,14813.0,16303.0,56.0,212.63
1784227855.7502594,2026/07/16 11:50:55.743,0,NVIDIA GeForce RTX 5080,95.0,43.0,14813.0,16303.0,56.0,213.08
