sample_time_unix,gpu_timestamp,gpu_index,gpu_name,gpu_utilization_percent,memory_utilization_percent,vram_used_mib,vram_total_mib,temperature_c,power_draw_watts
1784227130.6789687,2026/07/16 11:38:50.675,0,NVIDIA GeForce RTX 5080,0.0,0.0,14620.0,16303.0,42.0,49.58
1784227131.6929688,2026/07/16 11:38:51.689,0,NVIDIA GeForce RTX 5080,0.0,0.0,14620.0,16303.0,42.0,49.84
1784227132.7067657,2026/07/16 11:38:52.703,0,NVIDIA GeForce RTX 5080,0.0,0.0,14620.0,16303.0,42.0,49.68
1784227133.7222085,2026/07/16 11:38:53.717,0,NVIDIA GeForce RTX 5080,97.0,18.0,14620.0,16303.0,62.0,196.2
1784227134.7372448,2026/07/16 11:38:54.732,0,NVIDIA GeForce RTX 5080,97.0,19.0,14620.0,16303.0,65.0,310.3
1784227135.7518709,2026/07/16 11:38:55.747,0,NVIDIA GeForce RTX 5080,97.0,18.0,14620.0,16303.0,65.0,309.4
1784227136.7692783,2026/07/16 11:38:56.763,0,NVIDIA GeForce RTX 5080,98.0,18.0,14624.0,16303.0,59.0,312.84
1784227137.786653,2026/07/16 11:38:57.780,0,NVIDIA GeForce RTX 5080,78.0,30.0,14624.0,16303.0,54.0,216.69
1784227138.8032432,2026/07/16 11:38:58.797,0,NVIDIA GeForce RTX 5080,80.0,40.0,14626.0,16303.0,55.0,186.49
1784227139.8204284,2026/07/16 11:38:59.814,0,NVIDIA GeForce RTX 5080,81.0,41.0,14626.0,16303.0,55.0,207.58
1784227140.8365922,2026/07/16 11:39:00.830,0,NVIDIA GeForce RTX 5080,81.0,41.0,14626.0,16303.0,56.0,209.65
1784227141.8556523,2026/07/16 11:39:01.848,0,NVIDIA GeForce RTX 5080,80.0,40.0,14626.0,16303.0,55.0,209.02
1784227142.8731577,2026/07/16 11:39:02.867,0,NVIDIA GeForce RTX 5080,80.0,40.0,14626.0,16303.0,55.0,209.81
1784227143.8909593,2026/07/16 11:39:03.884,0,NVIDIA GeForce RTX 5080,82.0,41.0,14626.0,16303.0,56.0,209.81
1784227144.9074092,2026/07/16 11:39:04.901,0,NVIDIA GeForce RTX 5080,82.0,41.0,14626.0,16303.0,56.0,211.71
1784227145.92475,2026/07/16 11:39:05.918,0,NVIDIA GeForce RTX 5080,82.0,41.0,14626.0,16303.0,56.0,212.32
1784227146.9387584,2026/07/16 11:39:06.934,0,NVIDIA GeForce RTX 5080,74.0,38.0,14626.0,16303.0,56.0,210.86
