elapsed_seconds,cpu_percent,ram_used_gib,ram_available_gib,ram_percent,swap_used_gib,swap_percent
0.001,0.0,6.6660614013671875,23.786216735839844,21.9,3.029998779296875,37.9
1.001,7.3,7.1195068359375,23.33277130126953,23.4,3.029998779296875,37.9
2.002,7.2,7.2360382080078125,23.21623992919922,23.8,3.029998779296875,37.9
3.002,6.0,7.258068084716797,23.194210052490234,23.8,3.029998779296875,37.9
4.002,5.8,7.264614105224609,23.187664031982422,23.9,3.029998779296875,37.9
5.002,5.8,7.26953125,23.18274688720703,23.9,3.0299949645996094,37.9
6.003,6.1,7.40350341796875,23.04877471923828,24.3,3.0299949645996094,37.9
7.003,34.9,7.5383758544921875,22.913902282714844,24.8,3.0299949645996094,37.9
8.004,32.8,8.075580596923828,22.376697540283203,26.5,3.0299949645996094,37.9
9.004,44.9,8.08700942993164,22.36526870727539,26.6,3.0299949645996094,37.9
10.004,44.8,8.089599609375,22.36267852783203,26.6,3.0299949645996094,37.9
11.005,44.9,8.090145111083984,22.362133026123047,26.6,3.0299949645996094,37.9
12.005,44.7,8.084911346435547,22.367366790771484,26.5,3.0299911499023438,37.9
13.005,44.4,8.071823120117188,22.380455017089844,26.5,3.0299835205078125,37.9
14.006,44.6,8.06711196899414,22.38516616821289,26.5,3.0299835205078125,37.9
15.006,44.6,8.070972442626953,22.381305694580078,26.5,3.0299835205078125,37.9
16.006,46.8,7.693637847900391,22.75864028930664,25.3,3.029979705810547,37.9
