sample_time_unix,gpu_timestamp,gpu_index,gpu_name,gpu_utilization_percent,memory_utilization_percent,vram_used_mib,vram_total_mib,temperature_c,power_draw_watts
1784227147.6315675,2026/07/16 11:39:07.628,0,NVIDIA GeForce RTX 5080,0.0,0.0,14626.0,16303.0,47.0,104.56
1784227148.6451979,2026/07/16 11:39:08.641,0,NVIDIA GeForce RTX 5080,0.0,0.0,14629.0,16303.0,47.0,57.46
1784227149.6610904,2026/07/16 11:39:09.656,0,NVIDIA GeForce RTX 5080,0.0,0.0,14629.0,16303.0,46.0,52.27
1784227150.6785264,2026/07/16 11:39:10.672,0,NVIDIA GeForce RTX 5080,83.0,45.0,14629.0,16303.0,55.0,187.87
1784227151.6952918,2026/07/16 11:39:11.689,0,NVIDIA GeForce RTX 5080,80.0,44.0,14629.0,16303.0,56.0,207.89
1784227152.7139854,2026/07/16 11:39:12.707,0,NVIDIA GeForce RTX 5080,82.0,45.0,14629.0,16303.0,56.0,208.48
1784227153.7309902,2026/07/16 11:39:13.724,0,NVIDIA GeForce RTX 5080,81.0,45.0,14629.0,16303.0,56.0,198.08
1784227154.7485557,2026/07/16 11:39:14.742,0,NVIDIA GeForce RTX 5080,15.0,4.0,14629.0,16303.0,52.0,104.11
1784227155.7621274,2026/07/16 11:39:15.758,0,NVIDIA GeForce RTX 5080,81.0,44.0,14629.0,16303.0,56.0,174.61
1784227156.7793734,2026/07/16 11:39:16.773,0,NVIDIA GeForce RTX 5080,80.0,40.0,14629.0,16303.0,57.0,191.59
1784227157.7970695,2026/07/16 11:39:17.790,0,NVIDIA GeForce RTX 5080,82.0,41.0,14629.0,16303.0,57.0,210.63
1784227158.8145175,2026/07/16 11:39:18.808,0,NVIDIA GeForce RTX 5080,79.0,37.0,14636.0,16303.0,57.0,207.57
1784227159.8317666,2026/07/16 11:39:19.825,0,NVIDIA GeForce RTX 5080,85.0,39.0,14636.0,16303.0,57.0,206.54
1784227160.8500094,2026/07/16 11:39:20.843,0,NVIDIA GeForce RTX 5080,81.0,41.0,14635.0,16303.0,57.0,209.17
1784227161.8678958,2026/07/16 11:39:21.861,0,NVIDIA GeForce RTX 5080,81.0,41.0,14635.0,16303.0,57.0,212.63
1784227162.8852918,2026/07/16 11:39:22.879,0,NVIDIA GeForce RTX 5080,83.0,42.0,14635.0,16303.0,57.0,209.08
