sample_time_unix,gpu_timestamp,gpu_index,gpu_name,gpu_utilization_percent,memory_utilization_percent,vram_used_mib,vram_total_mib,temperature_c,power_draw_watts
1784225645.5684981,2026/07/16 11:14:05.565,0,NVIDIA GeForce RTX 5080,0.0,0.0,14781.0,16303.0,43.0,88.92
1784225646.5820813,2026/07/16 11:14:06.578,0,NVIDIA GeForce RTX 5080,0.0,0.0,14782.0,16303.0,42.0,50.17
1784225647.5990224,2026/07/16 11:14:07.593,0,NVIDIA GeForce RTX 5080,0.0,0.0,14782.0,16303.0,42.0,49.93
1784225648.6217172,2026/07/16 11:14:08.615,0,NVIDIA GeForce RTX 5080,90.0,13.0,14782.0,16303.0,46.0,98.27
1784225649.6429594,2026/07/16 11:14:09.635,0,NVIDIA GeForce RTX 5080,34.0,22.0,14782.0,16303.0,46.0,112.86
1784225650.6655102,2026/07/16 11:14:10.657,0,NVIDIA GeForce RTX 5080,34.0,22.0,14782.0,16303.0,46.0,115.66
1784225651.6883783,2026/07/16 11:14:11.681,0,NVIDIA GeForce RTX 5080,35.0,22.0,14781.0,16303.0,47.0,116.3
1784225652.7105076,2026/07/16 11:14:12.702,0,NVIDIA GeForce RTX 5080,36.0,23.0,14781.0,16303.0,46.0,116.04
1784225653.7331364,2026/07/16 11:14:13.724,0,NVIDIA GeForce RTX 5080,36.0,23.0,14781.0,16303.0,46.0,115.44
1784225654.7557602,2026/07/16 11:14:14.748,0,NVIDIA GeForce RTX 5080,36.0,23.0,14781.0,16303.0,46.0,115.67
1784225655.7717793,2026/07/16 11:14:15.766,0,NVIDIA GeForce RTX 5080,34.0,22.0,14781.0,16303.0,44.0,110.84
1784225656.791984,2026/07/16 11:14:16.785,0,NVIDIA GeForce RTX 5080,34.0,22.0,14781.0,16303.0,46.0,108.11
1784225657.8148935,2026/07/16 11:14:17.807,0,NVIDIA GeForce RTX 5080,8.0,4.0,14781.0,16303.0,46.0,101.37
1784225658.8318326,2026/07/16 11:14:18.825,0,NVIDIA GeForce RTX 5080,33.0,22.0,14781.0,16303.0,43.0,98.92
1784225659.8544374,2026/07/16 11:14:19.847,0,NVIDIA GeForce RTX 5080,34.0,14.0,14781.0,16303.0,46.0,109.46
1784225660.8722353,2026/07/16 11:14:20.865,0,NVIDIA GeForce RTX 5080,33.0,21.0,14781.0,16303.0,44.0,111.27
1784225661.8939066,2026/07/16 11:14:21.886,0,NVIDIA GeForce RTX 5080,63.0,12.0,14781.0,16303.0,46.0,110.71
1784225662.9154627,2026/07/16 11:14:22.908,0,NVIDIA GeForce RTX 5080,32.0,20.0,14781.0,16303.0,46.0,110.86
1784225663.9378338,2026/07/16 11:14:23.930,0,NVIDIA GeForce RTX 5080,32.0,20.0,14781.0,16303.0,46.0,111.09
1784225664.9602916,2026/07/16 11:14:24.952,0,NVIDIA GeForce RTX 5080,30.0,19.0,14781.0,16303.0,46.0,110.67
1784225665.9823909,2026/07/16 11:14:25.975,0,NVIDIA GeForce RTX 5080,32.0,20.0,14781.0,16303.0,46.0,111.14
1784225667.0065255,2026/07/16 11:14:26.998,0,NVIDIA GeForce RTX 5080,32.0,20.0,14781.0,16303.0,46.0,111.58
1784225668.0300026,2026/07/16 11:14:28.021,0,NVIDIA GeForce RTX 5080,32.0,20.0,14781.0,16303.0,46.0,111.39
1784225669.0547888,2026/07/16 11:14:29.046,0,NVIDIA GeForce RTX 5080,32.0,20.0,14781.0,16303.0,46.0,112.41
1784225670.0786853,2026/07/16 11:14:30.071,0,NVIDIA GeForce RTX 5080,32.0,20.0,14781.0,16303.0,46.0,112.7
1784225671.1027923,2026/07/16 11:14:31.094,0,NVIDIA GeForce RTX 5080,31.0,20.0,14781.0,16303.0,46.0,112.57
1784225672.1264737,2026/07/16 11:14:32.119,0,NVIDIA GeForce RTX 5080,31.0,19.0,14781.0,16303.0,46.0,111.81
1784225673.1512525,2026/07/16 11:14:33.142,0,NVIDIA GeForce RTX 5080,33.0,20.0,14781.0,16303.0,46.0,111.5
1784225674.1743681,2026/07/16 11:14:34.165,0,NVIDIA GeForce RTX 5080,32.0,20.0,14781.0,16303.0,46.0,111.75
