sample_time_unix,gpu_timestamp,gpu_index,gpu_name,gpu_utilization_percent,memory_utilization_percent,vram_used_mib,vram_total_mib,temperature_c,power_draw_watts
1784232749.9322245,2026/07/16 13:12:29.920,0,NVIDIA GeForce RTX 5080,0.0,27.0,13476.0,16303.0,37.0,12.06
1784232750.955398,2026/07/16 13:12:30.944,0,NVIDIA GeForce RTX 5080,5.0,19.0,13480.0,16303.0,38.0,15.14
1784232751.976518,2026/07/16 13:12:31.967,0,NVIDIA GeForce RTX 5080,0.0,22.0,13480.0,16303.0,37.0,15.68
1784232752.9921377,2026/07/16 13:12:32.987,0,NVIDIA GeForce RTX 5080,0.0,34.0,13536.0,16303.0,45.0,56.08
1784232754.00801,2026/07/16 13:12:34.003,0,NVIDIA GeForce RTX 5080,76.0,11.0,13536.0,16303.0,47.0,152.74
1784232755.024112,2026/07/16 13:12:35.019,0,NVIDIA GeForce RTX 5080,76.0,10.0,13536.0,16303.0,47.0,153.49
1784232756.0399916,2026/07/16 13:12:36.034,0,NVIDIA GeForce RTX 5080,76.0,10.0,13534.0,16303.0,48.0,153.34
1784232757.0552895,2026/07/16 13:12:37.050,0,NVIDIA GeForce RTX 5080,77.0,11.0,13534.0,16303.0,48.0,154.37
1784232758.0705574,2026/07/16 13:12:38.065,0,NVIDIA GeForce RTX 5080,76.0,10.0,13534.0,16303.0,48.0,154.76
1784232759.0856268,2026/07/16 13:12:39.080,0,NVIDIA GeForce RTX 5080,77.0,11.0,13534.0,16303.0,49.0,155.74
1784232760.1014621,2026/07/16 13:12:40.096,0,NVIDIA GeForce RTX 5080,76.0,10.0,13534.0,16303.0,49.0,155.91
1784232761.1174052,2026/07/16 13:12:41.112,0,NVIDIA GeForce RTX 5080,78.0,11.0,13534.0,16303.0,49.0,158.2
1784232762.1337216,2026/07/16 13:12:42.128,0,NVIDIA GeForce RTX 5080,76.0,11.0,13534.0,16303.0,51.0,158.1
1784232763.1500053,2026/07/16 13:12:43.144,0,NVIDIA GeForce RTX 5080,78.0,11.0,13534.0,16303.0,50.0,162.14
1784232764.1669888,2026/07/16 13:12:44.160,0,NVIDIA GeForce RTX 5080,76.0,10.0,13539.0,16303.0,52.0,160.13
1784232765.1834915,2026/07/16 13:12:45.178,0,NVIDIA GeForce RTX 5080,71.0,8.0,13541.0,16303.0,50.0,161.36
1784232766.2006671,2026/07/16 13:12:46.194,0,NVIDIA GeForce RTX 5080,95.0,42.0,13541.0,16303.0,55.0,178.49
1784232767.2148678,2026/07/16 13:12:47.210,0,NVIDIA GeForce RTX 5080,2.0,0.0,13541.0,16303.0,50.0,198.24
1784232768.2312522,2026/07/16 13:12:48.225,0,NVIDIA GeForce RTX 5080,94.0,41.0,13541.0,16303.0,55.0,190.45
1784232769.2483919,2026/07/16 13:12:49.241,0,NVIDIA GeForce RTX 5080,50.0,21.0,13536.0,16303.0,51.0,220.17
1784232770.2654939,2026/07/16 13:12:50.259,0,NVIDIA GeForce RTX 5080,73.0,11.0,13536.0,16303.0,53.0,163.23
1784232771.2821298,2026/07/16 13:12:51.276,0,NVIDIA GeForce RTX 5080,95.0,44.0,13536.0,16303.0,54.0,198.24
1784232772.2988482,2026/07/16 13:12:52.293,0,NVIDIA GeForce RTX 5080,95.0,44.0,13536.0,16303.0,54.0,204.72
