elapsed_seconds,cpu_percent,ram_used_gib,ram_available_gib,ram_percent,swap_used_gib,swap_percent
0.001,4.4,5.482143402099609,24.970134735107422,18.0,3.6529808044433594,45.7
1.001,7.5,6.015056610107422,24.43722152709961,19.8,3.6509437561035156,45.6
2.001,7.1,6.023540496826172,24.42873764038086,19.8,3.650909423828125,45.6
3.002,4.9,6.0775604248046875,24.374717712402344,20.0,3.650909423828125,45.6
4.002,5.9,6.082592010498047,24.369686126708984,20.0,3.6508560180664062,45.6
5.003,4.5,6.241905212402344,24.210372924804688,20.5,3.6508560180664062,45.6
6.003,5.1,6.241054534912109,24.211223602294922,20.5,3.6508560180664062,45.6
7.003,4.8,6.246280670166016,24.205997467041016,20.5,3.6508560180664062,45.6
8.004,4.7,6.239871978759766,24.212406158447266,20.5,3.6508560180664062,45.6
9.004,4.8,6.2522735595703125,24.20000457763672,20.5,3.6508522033691406,45.6
10.005,4.8,6.2582550048828125,24.19402313232422,20.6,3.6508445739746094,45.6
11.005,4.8,6.242961883544922,24.20931625366211,20.5,3.6508445739746094,45.6
12.005,4.9,6.252834320068359,24.199443817138672,20.5,3.650836944580078,45.6
13.006,3.6,6.233245849609375,24.219032287597656,20.5,3.650829315185547,45.6
14.006,3.9,6.231426239013672,24.22085189819336,20.5,3.650829315185547,45.6
15.007,5.3,6.233589172363281,24.21868896484375,20.5,3.6508255004882812,45.6
16.007,5.3,6.221591949462891,24.23068618774414,20.4,3.6508255004882812,45.6
17.007,5.5,6.230155944824219,24.222122192382812,20.5,3.6504859924316406,45.6
18.008,4.8,6.220897674560547,24.231380462646484,20.4,3.650482177734375,45.6
19.008,4.9,6.222652435302734,24.229625701904297,20.4,3.650482177734375,45.6
20.009,4.8,6.193447113037109,24.258831024169922,20.3,3.650482177734375,45.6
21.009,4.8,6.213176727294922,24.23910140991211,20.4,3.6504745483398438,45.6
22.009,4.8,6.2970428466796875,24.155235290527344,20.7,3.65045166015625,45.6
23.01,4.5,6.299690246582031,24.152587890625,20.7,3.65045166015625,45.6
24.01,4.6,6.321979522705078,24.130298614501953,20.8,3.65045166015625,45.6
25.011,4.5,6.321708679199219,24.130569458007812,20.8,3.65045166015625,45.6
26.011,4.6,6.309761047363281,24.14251708984375,20.7,3.65045166015625,45.6
27.011,4.5,6.2938232421875,24.15845489501953,20.7,3.65045166015625,45.6
28.012,5.5,6.353153228759766,24.099124908447266,20.9,3.65045166015625,45.6
