sample_time_unix,gpu_timestamp,gpu_index,gpu_name,gpu_utilization_percent,memory_utilization_percent,vram_used_mib,vram_total_mib,temperature_c,power_draw_watts
1784235577.6150231,2026/07/16 13:59:37.611,0,NVIDIA GeForce RTX 5080,0.0,0.0,14809.0,16303.0,54.0,155.79
1784235578.6303902,2026/07/16 13:59:38.626,0,NVIDIA GeForce RTX 5080,1.0,0.0,14810.0,16303.0,52.0,62.83
1784235579.646613,2026/07/16 13:59:39.641,0,NVIDIA GeForce RTX 5080,1.0,0.0,14810.0,16303.0,51.0,59.62
1784235580.660292,2026/07/16 13:59:40.656,0,NVIDIA GeForce RTX 5080,95.0,45.0,14812.0,16303.0,62.0,165.0
1784235581.6766777,2026/07/16 13:59:41.670,0,NVIDIA GeForce RTX 5080,96.0,46.0,14812.0,16303.0,62.0,210.51
1784235582.692201,2026/07/16 13:59:42.686,0,NVIDIA GeForce RTX 5080,95.0,45.0,14812.0,16303.0,62.0,231.31
1784235583.7077389,2026/07/16 13:59:43.702,0,NVIDIA GeForce RTX 5080,95.0,45.0,14811.0,16303.0,62.0,213.03
1784235584.7238946,2026/07/16 13:59:44.718,0,NVIDIA GeForce RTX 5080,95.0,45.0,14811.0,16303.0,62.0,231.11
1784235585.7399402,2026/07/16 13:59:45.734,0,NVIDIA GeForce RTX 5080,96.0,45.0,14809.0,16303.0,62.0,231.9
1784235586.7552044,2026/07/16 13:59:46.751,0,NVIDIA GeForce RTX 5080,26.0,12.0,14809.0,16303.0,62.0,212.1
1784235587.771386,2026/07/16 13:59:47.765,0,NVIDIA GeForce RTX 5080,92.0,21.0,14809.0,16303.0,62.0,231.65
1784235588.7878077,2026/07/16 13:59:48.781,0,NVIDIA GeForce RTX 5080,92.0,44.0,14809.0,16303.0,62.0,232.04
1784235589.8043053,2026/07/16 13:59:49.798,0,NVIDIA GeForce RTX 5080,95.0,45.0,14809.0,16303.0,62.0,233.53
1784235590.8209603,2026/07/16 13:59:50.814,0,NVIDIA GeForce RTX 5080,96.0,45.0,14809.0,16303.0,62.0,233.05
1784235591.837069,2026/07/16 13:59:51.831,0,NVIDIA GeForce RTX 5080,96.0,45.0,14809.0,16303.0,62.0,233.76
1784235592.853478,2026/07/16 13:59:52.847,0,NVIDIA GeForce RTX 5080,96.0,45.0,14809.0,16303.0,62.0,234.91
1784235593.8693979,2026/07/16 13:59:53.863,0,NVIDIA GeForce RTX 5080,95.0,45.0,14807.0,16303.0,62.0,233.62
1784235594.883276,2026/07/16 13:59:54.879,0,NVIDIA GeForce RTX 5080,46.0,21.0,14807.0,16303.0,62.0,210.88
1784235595.8993475,2026/07/16 13:59:55.893,0,NVIDIA GeForce RTX 5080,90.0,37.0,14807.0,16303.0,62.0,210.06
1784235596.9161584,2026/07/16 13:59:56.910,0,NVIDIA GeForce RTX 5080,66.0,31.0,14807.0,16303.0,61.0,209.68
1784235597.9325824,2026/07/16 13:59:57.926,0,NVIDIA GeForce RTX 5080,95.0,46.0,14807.0,16303.0,61.0,209.07
1784235598.9488132,2026/07/16 13:59:58.942,0,NVIDIA GeForce RTX 5080,95.0,46.0,14807.0,16303.0,61.0,211.15
1784235599.9651155,2026/07/16 13:59:59.959,0,NVIDIA GeForce RTX 5080,95.0,46.0,14807.0,16303.0,61.0,210.11
1784235600.9804873,2026/07/16 14:00:00.975,0,NVIDIA GeForce RTX 5080,95.0,46.0,14807.0,16303.0,61.0,210.56
1784235601.997732,2026/07/16 14:00:01.991,0,NVIDIA GeForce RTX 5080,95.0,46.0,14807.0,16303.0,61.0,210.85
