sample_time_unix,gpu_timestamp,gpu_index,gpu_name,gpu_utilization_percent,memory_utilization_percent,vram_used_mib,vram_total_mib,temperature_c,power_draw_watts
1784237356.1869552,2026/07/16 14:29:16.175,0,NVIDIA GeForce RTX 5080,0.0,14.0,14733.0,16303.0,41.0,12.37
1784237357.2127,2026/07/16 14:29:17.201,0,NVIDIA GeForce RTX 5080,0.0,11.0,14733.0,16303.0,41.0,13.57
1784237358.2379231,2026/07/16 14:29:18.226,0,NVIDIA GeForce RTX 5080,0.0,25.0,14733.0,16303.0,41.0,12.73
1784237359.2532976,2026/07/16 14:29:19.248,0,NVIDIA GeForce RTX 5080,6.0,20.0,14755.0,16303.0,62.0,184.53
1784237360.2693384,2026/07/16 14:29:20.264,0,NVIDIA GeForce RTX 5080,99.0,25.0,14755.0,16303.0,65.0,325.39
1784237361.2854333,2026/07/16 14:29:21.280,0,NVIDIA GeForce RTX 5080,99.0,25.0,14755.0,16303.0,66.0,327.49
1784237362.3015144,2026/07/16 14:29:22.296,0,NVIDIA GeForce RTX 5080,99.0,24.0,14755.0,16303.0,67.0,330.02
1784237363.3163836,2026/07/16 14:29:23.311,0,NVIDIA GeForce RTX 5080,99.0,24.0,14757.0,16303.0,58.0,289.22
1784237364.3310263,2026/07/16 14:29:24.327,0,NVIDIA GeForce RTX 5080,8.0,3.0,14757.0,16303.0,50.0,187.84
1784237365.3485043,2026/07/16 14:29:25.342,0,NVIDIA GeForce RTX 5080,0.0,0.0,14759.0,16303.0,52.0,65.13
1784237366.366273,2026/07/16 14:29:26.360,0,NVIDIA GeForce RTX 5080,60.0,27.0,14759.0,16303.0,57.0,187.78
1784237367.3835099,2026/07/16 14:29:27.377,0,NVIDIA GeForce RTX 5080,95.0,47.0,14759.0,16303.0,56.0,201.02
1784237368.4002538,2026/07/16 14:29:28.393,0,NVIDIA GeForce RTX 5080,92.0,45.0,14759.0,16303.0,57.0,213.88
1784237369.4169848,2026/07/16 14:29:29.410,0,NVIDIA GeForce RTX 5080,95.0,47.0,14759.0,16303.0,57.0,214.26
1784237370.4330244,2026/07/16 14:29:30.427,0,NVIDIA GeForce RTX 5080,95.0,47.0,14759.0,16303.0,57.0,214.82
1784237371.4470682,2026/07/16 14:29:31.443,0,NVIDIA GeForce RTX 5080,95.0,47.0,14756.0,16303.0,53.0,207.33
