sample_time_unix,gpu_timestamp,gpu_index,gpu_name,gpu_utilization_percent,memory_utilization_percent,vram_used_mib,vram_total_mib,temperature_c,power_draw_watts
1784238169.1313245,2026/07/16 14:42:49.125,0,NVIDIA GeForce RTX 5080,0.0,0.0,14798.0,16303.0,46.0,44.55
1784238170.1524405,2026/07/16 14:42:50.143,0,NVIDIA GeForce RTX 5080,0.0,16.0,14794.0,16303.0,45.0,25.87
1784238171.1735542,2026/07/16 14:42:51.164,0,NVIDIA GeForce RTX 5080,1.0,8.0,14778.0,16303.0,45.0,18.24
1784238172.1904576,2026/07/16 14:42:52.184,0,NVIDIA GeForce RTX 5080,99.0,20.0,14800.0,16303.0,66.0,192.76
1784238173.2065594,2026/07/16 14:42:53.201,0,NVIDIA GeForce RTX 5080,99.0,20.0,14800.0,16303.0,69.0,330.63
1784238174.2224622,2026/07/16 14:42:54.217,0,NVIDIA GeForce RTX 5080,99.0,20.0,14800.0,16303.0,70.0,334.51
1784238175.2391977,2026/07/16 14:42:55.233,0,NVIDIA GeForce RTX 5080,99.0,20.0,14800.0,16303.0,70.0,333.3
1784238176.2552576,2026/07/16 14:42:56.249,0,NVIDIA GeForce RTX 5080,96.0,19.0,14802.0,16303.0,62.0,294.65
1784238177.2716568,2026/07/16 14:42:57.265,0,NVIDIA GeForce RTX 5080,64.0,27.0,14804.0,16303.0,61.0,212.6
1784238178.2880263,2026/07/16 14:42:58.282,0,NVIDIA GeForce RTX 5080,95.0,40.0,14807.0,16303.0,55.0,221.51
1784238179.30387,2026/07/16 14:42:59.297,0,NVIDIA GeForce RTX 5080,96.0,40.0,14807.0,16303.0,62.0,224.0
1784238180.3248594,2026/07/16 14:43:00.321,0,NVIDIA GeForce RTX 5080,95.0,40.0,14807.0,16303.0,52.0,165.54
1784238181.339471,2026/07/16 14:43:01.335,0,NVIDIA GeForce RTX 5080,1.0,0.0,14807.0,16303.0,61.0,139.84
1784238182.356013,2026/07/16 14:43:02.349,0,NVIDIA GeForce RTX 5080,92.0,41.0,14807.0,16303.0,60.0,213.0
1784238183.373099,2026/07/16 14:43:03.367,0,NVIDIA GeForce RTX 5080,92.0,42.0,14806.0,16303.0,60.0,217.83
1784238184.3888102,2026/07/16 14:43:04.383,0,NVIDIA GeForce RTX 5080,95.0,43.0,14806.0,16303.0,60.0,218.38
1784238185.4044313,2026/07/16 14:43:05.399,0,NVIDIA GeForce RTX 5080,95.0,43.0,14806.0,16303.0,60.0,218.69
1784238186.418199,2026/07/16 14:43:06.414,0,NVIDIA GeForce RTX 5080,95.0,43.0,14806.0,16303.0,51.0,153.68
