elapsed_seconds,cpu_percent,ram_used_gib,ram_available_gib,ram_percent,swap_used_gib,swap_percent
0.001,0.0,5.524162292480469,24.928115844726562,18.1,3.6134796142578125,45.2
1.001,8.1,6.087032318115234,24.365245819091797,20.0,3.613475799560547,45.2
2.002,7.5,6.3001861572265625,24.15209197998047,20.7,3.6134719848632812,45.2
3.002,5.6,6.474632263183594,23.977645874023438,21.3,3.6134719848632812,45.2
4.003,4.5,6.469882965087891,23.98239517211914,21.2,3.6134300231933594,45.2
5.003,5.6,6.476123809814453,23.976154327392578,21.3,3.613414764404297,45.2
6.004,4.4,6.466789245605469,23.985488891601562,21.2,3.613414764404297,45.2
7.004,5.3,6.6817779541015625,23.77050018310547,21.9,3.6134109497070312,45.2
8.004,5.1,6.780731201171875,23.671546936035156,22.3,3.6134109497070312,45.2
9.005,5.1,6.748996734619141,23.70328140258789,22.2,3.6134109497070312,45.2
10.005,5.3,6.8179931640625,23.63428497314453,22.4,3.6134109497070312,45.2
11.006,4.7,6.771137237548828,23.681140899658203,22.2,3.6134109497070312,45.2
12.006,5.1,6.857475280761719,23.594802856445312,22.5,3.6134071350097656,45.2
13.006,4.8,7.023105621337891,23.42917251586914,23.1,3.6134033203125,45.2
14.007,4.6,7.020133972167969,23.432144165039062,23.1,3.6134033203125,45.2
15.007,4.6,7.031742095947266,23.420536041259766,23.1,3.6134033203125,45.2
16.007,4.5,7.031169891357422,23.42110824584961,23.1,3.6134033203125,45.2
17.008,5.7,7.086231231689453,23.366046905517578,23.3,3.6133956909179688,45.2
