sample_time_unix,gpu_timestamp,gpu_index,gpu_name,gpu_utilization_percent,memory_utilization_percent,vram_used_mib,vram_total_mib,temperature_c,power_draw_watts
1784238186.5362427,2026/07/16 14:43:06.532,0,NVIDIA GeForce RTX 5080,95.0,43.0,14806.0,16303.0,51.0,153.68
1784238187.5535045,2026/07/16 14:43:07.549,0,NVIDIA GeForce RTX 5080,0.0,0.0,14806.0,16303.0,50.0,59.9
1784238188.571558,2026/07/16 14:43:08.564,0,NVIDIA GeForce RTX 5080,0.0,0.0,14806.0,16303.0,49.0,55.24
1784238189.5884588,2026/07/16 14:43:09.582,0,NVIDIA GeForce RTX 5080,95.0,18.0,14806.0,16303.0,60.0,169.0
1784238190.6054063,2026/07/16 14:43:10.599,0,NVIDIA GeForce RTX 5080,95.0,40.0,14806.0,16303.0,59.0,217.04
1784238191.6219203,2026/07/16 14:43:11.616,0,NVIDIA GeForce RTX 5080,95.0,40.0,14806.0,16303.0,57.0,220.67
1784238192.638072,2026/07/16 14:43:12.632,0,NVIDIA GeForce RTX 5080,95.0,40.0,14806.0,16303.0,60.0,234.78
1784238193.6542294,2026/07/16 14:43:13.648,0,NVIDIA GeForce RTX 5080,96.0,40.0,14806.0,16303.0,58.0,223.1
1784238194.670748,2026/07/16 14:43:14.664,0,NVIDIA GeForce RTX 5080,96.0,40.0,14805.0,16303.0,61.0,238.65
1784238195.6881232,2026/07/16 14:43:15.681,0,NVIDIA GeForce RTX 5080,96.0,40.0,14805.0,16303.0,61.0,221.54
1784238196.7046924,2026/07/16 14:43:16.698,0,NVIDIA GeForce RTX 5080,95.0,40.0,14806.0,16303.0,60.0,199.17
1784238197.720703,2026/07/16 14:43:17.715,0,NVIDIA GeForce RTX 5080,96.0,40.0,14806.0,16303.0,60.0,152.89
1784238198.7373664,2026/07/16 14:43:18.731,0,NVIDIA GeForce RTX 5080,92.0,38.0,14806.0,16303.0,60.0,206.41
1784238199.753531,2026/07/16 14:43:19.747,0,NVIDIA GeForce RTX 5080,96.0,40.0,14806.0,16303.0,61.0,240.71
1784238200.7697008,2026/07/16 14:43:20.764,0,NVIDIA GeForce RTX 5080,96.0,40.0,14806.0,16303.0,61.0,223.22
1784238201.7859607,2026/07/16 14:43:21.779,0,NVIDIA GeForce RTX 5080,95.0,40.0,14806.0,16303.0,61.0,214.97
1784238202.8024757,2026/07/16 14:43:22.796,0,NVIDIA GeForce RTX 5080,95.0,43.0,14806.0,16303.0,60.0,214.21
1784238203.8194807,2026/07/16 14:43:23.813,0,NVIDIA GeForce RTX 5080,95.0,43.0,14806.0,16303.0,60.0,217.38
1784238204.837249,2026/07/16 14:43:24.830,0,NVIDIA GeForce RTX 5080,95.0,43.0,14806.0,16303.0,60.0,217.89
