sample_time_unix,gpu_timestamp,gpu_index,gpu_name,gpu_utilization_percent,memory_utilization_percent,vram_used_mib,vram_total_mib,temperature_c,power_draw_watts
1784226890.5487313,2026/07/16 11:34:50.537,0,NVIDIA GeForce RTX 5080,1.0,28.0,14491.0,16303.0,38.0,12.42
1784226891.5753047,2026/07/16 11:34:51.563,0,NVIDIA GeForce RTX 5080,0.0,27.0,14494.0,16303.0,38.0,13.32
1784226892.5950344,2026/07/16 11:34:52.586,0,NVIDIA GeForce RTX 5080,0.0,28.0,14494.0,16303.0,38.0,12.51
1784226893.6109319,2026/07/16 11:34:53.605,0,NVIDIA GeForce RTX 5080,99.0,20.0,14548.0,16303.0,59.0,201.18
1784226894.6262987,2026/07/16 11:34:54.620,0,NVIDIA GeForce RTX 5080,99.0,20.0,14548.0,16303.0,61.0,306.4
1784226895.641345,2026/07/16 11:34:55.636,0,NVIDIA GeForce RTX 5080,99.0,19.0,14548.0,16303.0,62.0,308.9
1784226896.6571174,2026/07/16 11:34:56.652,0,NVIDIA GeForce RTX 5080,99.0,19.0,14547.0,16303.0,62.0,308.4
1784226897.6724288,2026/07/16 11:34:57.666,0,NVIDIA GeForce RTX 5080,99.0,19.0,14549.0,16303.0,63.0,307.9
1784226898.6881156,2026/07/16 11:34:58.683,0,NVIDIA GeForce RTX 5080,8.0,3.0,14551.0,16303.0,50.0,225.93
1784226899.705029,2026/07/16 11:34:59.698,0,NVIDIA GeForce RTX 5080,81.0,40.0,14553.0,16303.0,54.0,184.07
1784226900.7221694,2026/07/16 11:35:00.716,0,NVIDIA GeForce RTX 5080,81.0,40.0,14553.0,16303.0,54.0,203.84
1784226901.7390025,2026/07/16 11:35:01.733,0,NVIDIA GeForce RTX 5080,81.0,40.0,14553.0,16303.0,54.0,205.34
1784226902.7561243,2026/07/16 11:35:02.750,0,NVIDIA GeForce RTX 5080,81.0,40.0,14553.0,16303.0,54.0,205.9
1784226903.7699122,2026/07/16 11:35:03.766,0,NVIDIA GeForce RTX 5080,44.0,22.0,14553.0,16303.0,54.0,200.2
