elapsed_seconds,cpu_percent,ram_used_gib,ram_available_gib,ram_percent,swap_used_gib,swap_percent
0.0,50.0,6.094596862792969,24.357681274414062,20.0,3.1395721435546875,39.2
1.001,7.5,6.622528076171875,23.829750061035156,21.7,3.139537811279297,39.2
2.002,7.1,6.748516082763672,23.70376205444336,22.2,3.139537811279297,39.2
3.002,6.2,6.915119171142578,23.537158966064453,22.7,3.1395339965820312,39.2
4.002,5.8,6.9004364013671875,23.551841735839844,22.7,3.1395339965820312,39.2
5.003,5.8,6.904041290283203,23.548236846923828,22.7,3.1395339965820312,39.2
6.003,5.8,6.909877777099609,23.542400360107422,22.7,3.1394500732421875,39.2
7.003,6.1,6.9063568115234375,23.545921325683594,22.7,3.1394386291503906,39.2
8.004,27.2,7.113796234130859,23.338481903076172,23.4,3.139434814453125,39.2
9.004,32.7,7.465381622314453,22.986896514892578,24.5,3.1394309997558594,39.2
10.005,43.4,7.476207733154297,22.976070404052734,24.6,3.1394309997558594,39.2
11.005,43.2,7.489406585693359,22.962871551513672,24.6,3.1394309997558594,39.2
12.005,43.8,7.490806579589844,22.961471557617188,24.6,3.1394309997558594,39.2
13.006,39.7,7.491771697998047,22.960506439208984,24.6,3.1394309997558594,39.2
