sample_time_unix,gpu_timestamp,gpu_index,gpu_name,gpu_utilization_percent,memory_utilization_percent,vram_used_mib,vram_total_mib,temperature_c,power_draw_watts
1784226904.2915146,2026/07/16 11:35:04.288,0,NVIDIA GeForce RTX 5080,44.0,22.0,14553.0,16303.0,46.0,126.24
1784226905.3051436,2026/07/16 11:35:05.301,0,NVIDIA GeForce RTX 5080,0.0,0.0,14554.0,16303.0,45.0,56.87
1784226906.3209405,2026/07/16 11:35:06.315,0,NVIDIA GeForce RTX 5080,0.0,0.0,14554.0,16303.0,44.0,52.63
1784226907.3379657,2026/07/16 11:35:07.332,0,NVIDIA GeForce RTX 5080,82.0,19.0,14554.0,16303.0,55.0,187.18
1784226908.3548079,2026/07/16 11:35:08.349,0,NVIDIA GeForce RTX 5080,82.0,37.0,14554.0,16303.0,56.0,223.69
1784226909.3736708,2026/07/16 11:35:09.366,0,NVIDIA GeForce RTX 5080,83.0,38.0,14554.0,16303.0,56.0,225.85
1784226910.390177,2026/07/16 11:35:10.384,0,NVIDIA GeForce RTX 5080,82.0,37.0,14553.0,16303.0,57.0,226.42
1784226911.4068167,2026/07/16 11:35:11.402,0,NVIDIA GeForce RTX 5080,83.0,37.0,14553.0,16303.0,57.0,227.2
1784226912.420576,2026/07/16 11:35:12.416,0,NVIDIA GeForce RTX 5080,75.0,14.0,14553.0,16303.0,56.0,212.26
1784226913.4375472,2026/07/16 11:35:13.431,0,NVIDIA GeForce RTX 5080,0.0,0.0,14553.0,16303.0,48.0,73.12
1784226914.4549892,2026/07/16 11:35:14.448,0,NVIDIA GeForce RTX 5080,83.0,37.0,14553.0,16303.0,47.0,158.33
1784226915.4720771,2026/07/16 11:35:15.465,0,NVIDIA GeForce RTX 5080,81.0,37.0,14553.0,16303.0,57.0,204.8
1784226916.489982,2026/07/16 11:35:16.483,0,NVIDIA GeForce RTX 5080,82.0,37.0,14551.0,16303.0,57.0,229.71
1784226917.5062075,2026/07/16 11:35:17.500,0,NVIDIA GeForce RTX 5080,84.0,37.0,14551.0,16303.0,58.0,226.9
1784226918.5232258,2026/07/16 11:35:18.517,0,NVIDIA GeForce RTX 5080,83.0,37.0,14551.0,16303.0,58.0,211.46
1784226919.5407653,2026/07/16 11:35:19.534,0,NVIDIA GeForce RTX 5080,81.0,36.0,14551.0,16303.0,58.0,230.03
1784226920.55485,2026/07/16 11:35:20.551,0,NVIDIA GeForce RTX 5080,83.0,37.0,14551.0,16303.0,58.0,211.62
1784226921.5745301,2026/07/16 11:35:21.567,0,NVIDIA GeForce RTX 5080,83.0,37.0,14551.0,16303.0,58.0,204.84
1784226922.5914354,2026/07/16 11:35:22.585,0,NVIDIA GeForce RTX 5080,81.0,40.0,14551.0,16303.0,56.0,200.5
1784226923.608696,2026/07/16 11:35:23.602,0,NVIDIA GeForce RTX 5080,82.0,40.0,14551.0,16303.0,57.0,206.2
1784226924.6273732,2026/07/16 11:35:24.621,0,NVIDIA GeForce RTX 5080,81.0,40.0,14551.0,16303.0,57.0,207.57
1784226925.645617,2026/07/16 11:35:25.639,0,NVIDIA GeForce RTX 5080,81.0,40.0,14551.0,16303.0,57.0,207.95
1784226926.6624067,2026/07/16 11:35:26.656,0,NVIDIA GeForce RTX 5080,82.0,41.0,14551.0,16303.0,57.0,208.85
1784226927.680633,2026/07/16 11:35:27.674,0,NVIDIA GeForce RTX 5080,82.0,41.0,14551.0,16303.0,57.0,209.57
1784226928.6988215,2026/07/16 11:35:28.692,0,NVIDIA GeForce RTX 5080,82.0,41.0,14551.0,16303.0,57.0,210.43
1784226929.717912,2026/07/16 11:35:29.710,0,NVIDIA GeForce RTX 5080,82.0,41.0,14551.0,16303.0,58.0,212.24
