sample_time_unix,gpu_timestamp,gpu_index,gpu_name,gpu_utilization_percent,memory_utilization_percent,vram_used_mib,vram_total_mib,temperature_c,power_draw_watts
1784234152.0945685,2026/07/16 13:35:52.090,0,NVIDIA GeForce RTX 5080,0.0,0.0,14758.0,16303.0,41.0,48.69
1784234153.1085336,2026/07/16 13:35:53.105,0,NVIDIA GeForce RTX 5080,0.0,0.0,14759.0,16303.0,41.0,49.02
1784234154.1219225,2026/07/16 13:35:54.118,0,NVIDIA GeForce RTX 5080,0.0,0.0,14759.0,16303.0,41.0,48.74
1784234155.1381304,2026/07/16 13:35:55.132,0,NVIDIA GeForce RTX 5080,58.0,17.0,14813.0,16303.0,56.0,160.34
1784234156.1541407,2026/07/16 13:35:56.149,0,NVIDIA GeForce RTX 5080,97.0,25.0,14813.0,16303.0,52.0,246.4
1784234157.16976,2026/07/16 13:35:57.164,0,NVIDIA GeForce RTX 5080,96.0,21.0,14813.0,16303.0,55.0,244.69
1784234158.1861064,2026/07/16 13:35:58.180,0,NVIDIA GeForce RTX 5080,99.0,23.0,14813.0,16303.0,60.0,254.65
1784234159.2020469,2026/07/16 13:35:59.196,0,NVIDIA GeForce RTX 5080,99.0,26.0,14813.0,16303.0,63.0,254.44
1784234160.2169325,2026/07/16 13:36:00.212,0,NVIDIA GeForce RTX 5080,99.0,26.0,14815.0,16303.0,62.0,259.27
1784234161.2309716,2026/07/16 13:36:01.227,0,NVIDIA GeForce RTX 5080,47.0,24.0,14817.0,16303.0,54.0,199.16
1784234162.243969,2026/07/16 13:36:02.240,0,NVIDIA GeForce RTX 5080,55.0,20.0,14817.0,16303.0,53.0,164.29
1784234163.258955,2026/07/16 13:36:03.255,0,NVIDIA GeForce RTX 5080,0.0,0.0,14819.0,16303.0,51.0,87.46
1784234164.2800367,2026/07/16 13:36:04.272,0,NVIDIA GeForce RTX 5080,67.0,17.0,14819.0,16303.0,52.0,162.15
1784234165.2981627,2026/07/16 13:36:05.292,0,NVIDIA GeForce RTX 5080,59.0,34.0,14819.0,16303.0,52.0,165.66
1784234166.3165457,2026/07/16 13:36:06.310,0,NVIDIA GeForce RTX 5080,60.0,34.0,14819.0,16303.0,53.0,166.43
1784234167.3362434,2026/07/16 13:36:07.329,0,NVIDIA GeForce RTX 5080,60.0,34.0,14819.0,16303.0,53.0,168.0
1784234168.3554604,2026/07/16 13:36:08.349,0,NVIDIA GeForce RTX 5080,59.0,34.0,14819.0,16303.0,52.0,168.87
1784234169.3742726,2026/07/16 13:36:09.367,0,NVIDIA GeForce RTX 5080,60.0,34.0,14819.0,16303.0,53.0,168.84
1784234170.3936553,2026/07/16 13:36:10.387,0,NVIDIA GeForce RTX 5080,60.0,34.0,14819.0,16303.0,52.0,169.12
1784234171.4134617,2026/07/16 13:36:11.406,0,NVIDIA GeForce RTX 5080,59.0,34.0,14819.0,16303.0,53.0,169.35
1784234172.4279144,2026/07/16 13:36:12.424,0,NVIDIA GeForce RTX 5080,59.0,34.0,14819.0,16303.0,53.0,169.66
